,chembl_id,entity_id,pref_name,canonical_smiles,indication_name
0,CHEMBL1000,111185,CETIRIZINE,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,"A list of medical conditions: allergic conjunctivitis, allergic disease, allergic rhinitis, androgenetic alopecia, atopic eczema, dermatitis, Eczema, eye allergy, migraine disorder, multiple sclerosis, neuromyelitis optica, pemphigus, Pruritus, rhinitis, Rhinitis, Allergic, Perennial, seasonal allergic rhinitis"
1,CHEMBL100014,164444,AN-9,CCCC(=O)OCOC(=O)C(C)(C)C,"A list of medical conditions: chronic lymphocytic leukemia, melanoma, non-small cell lung carcinoma"
2,CHEMBL100116,165474,PENTAZOCINE,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,"A list of medical conditions: bipolar disorder, pain"
3,CHEMBL1002,111482,LEVOSALBUTAMOL,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,"A list of medical conditions: asthma, chronic obstructive pulmonary disease"
4,CHEMBL100259,161181,URIDINE,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,"A list of medical conditions: bipolar disorder, lung cancer"
5,CHEMBL1003,111491,CLAVULANATE POTASSIUM,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+],"A list of medical conditions: Enterobacteriaceae Infections, infection, mastitis, Otitis media, Periapical Periodontitis, pneumonia, pyelonephritis, respiratory tract infectious disorder, Sepsis, sinusitis, tuberculosis, urinary tract infection"
6,CHEMBL1004,111498,DOXYLAMINE,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,A list of medical conditions: allergic disease
7,CHEMBL1005,111871,REMIFENTANIL,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,"A list of medical conditions: brain neoplasm, ear neoplasm, heart disease, morbid obesity, neoplasm, obstructive sleep apnea, opioid dependence, opioid use disorder, pain, postherpetic neuralgia, premature birth, respiratory depression, Respiratory insufficiency, sleep apnea, stroke"
8,CHEMBL1006,112480,AMIFOSTINE,NCCCNCCSP(=O)(O)O,"A list of medical conditions: acute myeloid leukemia, brain neoplasm, breast cancer, Central Nervous System Neoplasm, cervical cancer, childhood germ cell tumor, chordoma, chronic myeloproliferative disorder, colorectal carcinoma, endometrial cancer, fallopian tube cancer, Fanconi anemia, head and neck malignant neoplasia, head and neck squamous cell carcinoma, Hepatoblastoma, Hodgkins lymphoma"
9,CHEMBL1007,112560,GONADORELIN,CC(C)C[C@H](NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,"A list of medical conditions: breast cancer, cocaine dependence, osteoporosis, prostate cancer"
